PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"216712";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Lithobates";;;;;;;"1573";"209868";;"Fitzinger, 1843";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205251;216712;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216713";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Lithobates";;;"catesbeianus";;;;"216712";"209869";14.09.2021;"(Shaw, 1802)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205265;216713;"Nei";;;;;;;;;;;;;;;;;;;;;;
"147961";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"esculentus";;;;"147960";"139548";06.02.2015;"(Linnaeus, 1758)";"Gyldig";"Ingen_bistatus";06.02.2015;06.02.2015;;;;;107921;147961;"Ja";"hybridfrosk";;"Bokmål";"Ja";14.03.2012;14.03.2012;;;;;;;;;;;;;;;;
"147962";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"ridibundus";;;;"147960";"139549";06.02.2015;"(Pallas, 1771)";"Gyldig";"Ingen_bistatus";06.02.2015;06.02.2015;;;;;107922;147962;"Ja";"latterfrosk";;"Bokmål";"Ja";09.12.2009;09.12.2009;;"latterfrosk";;"Nynorsk";"Ja";09.12.2009;09.12.2009;;;;;;;;;
"147963";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"lessonae";;;;"147960";"139550";06.02.2015;"(Camerano, 1882)";"Gyldig";"Ingen_bistatus";06.02.2015;06.02.2015;;;;;107923;147963;"Ja";"damfrosk";;"Bokmål";"Ja";29.05.2012;29.05.2012;;"damfrosk";;"Nynorsk";"Ja";29.05.2012;29.05.2012;;;;;;;;;
"169480";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"kurtmuelleri";;;;"147960";"161216";;"Gayda, 1940";"Gyldig";"Ingen_bistatus";13.01.2017;13.01.2017;;;;;140087;169480;"Nei";"balkanlatterfrosk";;"Bokmål";"Ja";13.01.2017;13.01.2017;;;;;;;;;;;;;;;;
"216721";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"bedriagae";;;;"147960";"209877";;"(Camerano, 1882)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205260;216721;"Nei";;;;;;;;;;;;;;;;;;;;;;
"152038";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Pelophylax";;;"lessonae";;;"lessonae";"147963";"143641";20.03.2015;;"Gyldig";"Ingen_bistatus";20.03.2015;20.03.2015;;;;;112082;152038;"Nei";"kontinental damfrosk";;"Bokmål";"Ja";30.05.2012;30.05.2012;;;;;;;;;;;;;;;;
"1575";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Rana";;;;;;"1574";"1574";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1574;1575;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1578";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Pelophylax";;;;;;"1574";"1577";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1577;1578;"Nei";;;;;;;;;;;;;;;;;;;;;;
